"","R1","R2","R3","repl","err","n_nms","Ridx","d"
"11",0.18533470336161,0.497794128688867,0.131527064188248,0,0,"H11",11,"HabSubsmpl_25"
"8",0.429322631144868,0.187150378533825,0.205640394616957,0,0,"H8",8,"HabSubsmpl_25"
"1",0.14947214766295,0.238234316945459,0.303429722251068,0,0,"H1",1,"HabSubsmpl_25"
"14",0.218929098364807,0.248121617110042,0.322233510914225,0,0,"H14",14,"HabSubsmpl_25"
"2",0.307960751000545,0.365634747165695,0.194276272545309,0,0,"H2",2,"HabSubsmpl_25"
"20",0.0770337204860921,0.204145171183453,0.220482115538937,0,0,"H20",20,"HabSubsmpl_25"
"5",0.336847641672881,0.315447757364036,0.150036313050332,0,0,"H5",5,"HabSubsmpl_25"
"22",0.333621212698606,0.20782599424352,0.188962987235466,0,0,"H22",22,"HabSubsmpl_25"
"12",0.336717607339823,0.209471590091396,0.259106800415649,0,0,"H12",12,"HabSubsmpl_25"
"7",0.585289559307634,0.269609070357219,0.113360876643075,0,0,"H7",7,"HabSubsmpl_25"
"4",0.341482555937385,0.219811876231285,0.254086498795953,0,0,"H4",4,"HabSubsmpl_25"
"24",0.178081372747291,0.215200795597933,0.503383852964741,0,0,"H24",24,"HabSubsmpl_25"
"17",0.324613517612802,0.289780460052417,0.282072657434108,0,0,"H17",17,"HabSubsmpl_25"
"19",0.256671685392136,0.33860318224578,0.172636150771968,0,0,"H19",19,"HabSubsmpl_25"
"23",0.297026073659452,0.215174190237969,0.229123266366153,0,0,"H23",23,"HabSubsmpl_25"
"10",0.0978276191190039,0.327164814352826,0.246010632968262,0,0,"H10",10,"HabSubsmpl_25"
"13",0.0735571967788169,0.100578429000513,0.196342679775034,0,0,"H13",13,"HabSubsmpl_25"
"6",0.484750984997727,0.0793197972824732,0.0597914943033887,0,0,"H6",6,"HabSubsmpl_25"
"15",0.166078625994425,0.41598217172111,0.404660345729418,0,0,"H15",15,"HabSubsmpl_25"
"16",0.358713737170584,0.173777399539766,0.145957670374346,0,0,"H16",16,"HabSubsmpl_25"
"18",0.175210242117186,0.322498068705976,0.275648125092254,0,0,"H18",18,"HabSubsmpl_25"
"25",0.104500053731472,0.400519651418106,0.296875196606999,0,0,"H25",25,"HabSubsmpl_25"
"3",0.208769977646738,0.269843143095921,0.161573490183683,0,0,"H3",3,"HabSubsmpl_25"
"21",0.11583151992882,0.394441498537753,0.112674725364544,0,0,"H21",21,"HabSubsmpl_25"
"9",0.26026887178926,0.203392322343757,0.141513098499353,0,0,"H9",9,"HabSubsmpl_25"
"48",0.0918647080891896,0.203971639511958,0.327935141055788,1,0,"H23",23,"HabSubsmpl_25"
"50",0.184550688670443,0.127852842177272,0.285807097371812,1,0,"H25",25,"HabSubsmpl_25"
"45",0.207863843720087,0.0500078604695486,0.232380943084464,1,0,"H20",20,"HabSubsmpl_25"
"41",0.274519682548233,0.258484106668154,0.269856547189142,1,0,"H16",16,"HabSubsmpl_25"
"32",0.204646768791789,0.145611749968723,0.231027536044762,1,0,"H7",7,"HabSubsmpl_25"
"49",0.107320956409199,0.0908020238877267,0.467413895534114,1,0,"H24",24,"HabSubsmpl_25"
"38",0.157202766948064,0.347165385723275,0.0754082856173202,1,0,"H13",13,"HabSubsmpl_25"
"36",0.188310952364266,0.265616430116679,0.342404341337583,1,0,"H11",11,"HabSubsmpl_25"
"29",0.281596692931865,0.345582475559626,0.428185903977334,1,0,"H4",4,"HabSubsmpl_25"
"26",0.14874521639784,0.196698190073711,0.177288410104118,1,0,"H1",1,"HabSubsmpl_25"
"40",0.34850251394506,0.288684759950655,0.278274339485803,1,0,"H15",15,"HabSubsmpl_25"
"28",0.49665216674877,0.216933040458033,0.104985981540023,1,0,"H3",3,"HabSubsmpl_25"
"33",0.203008063618709,0.156701294444975,0.330831722207168,1,0,"H8",8,"HabSubsmpl_25"
"34",0.233120726722442,0.196330175417644,0.265175776567758,1,0,"H9",9,"HabSubsmpl_25"
"31",0.297977990572042,0.327492489952172,0.207760478363156,1,0,"H6",6,"HabSubsmpl_25"
"37",0.222624289171502,0.253716053295254,0.191293834653718,1,0,"H12",12,"HabSubsmpl_25"
"43",0.174450377367399,0.289628707977493,0.508021064905136,1,0,"H18",18,"HabSubsmpl_25"
"30",0.242481100927542,0.298851862541193,0.135655180918011,1,0,"H5",5,"HabSubsmpl_25"
"44",0.166354790338968,0.422286492452169,0.127854607635752,1,0,"H19",19,"HabSubsmpl_25"
"46",0.0994388994315537,0.249945392323735,0.30266795433023,1,0,"H21",21,"HabSubsmpl_25"
"35",0.0981733054756598,0.331163316311331,0.22619396521075,1,0,"H10",10,"HabSubsmpl_25"
"42",0.135096443270131,0.108941957819296,0.121523337076421,1,0,"H17",17,"HabSubsmpl_25"
"47",0.230502812737026,0.157498319462574,0.264628008380527,1,0,"H22",22,"HabSubsmpl_25"
"39",0.233852462229096,0.287560356333767,0.334998688242034,1,0,"H14",14,"HabSubsmpl_25"
"27",0.273718688507835,0.369835019702057,0.310928110336794,1,0,"H2",2,"HabSubsmpl_25"
